Start time,End time,Access_Token_DEV,Login_Icon_DEV,Satiro_Login,Satiro_Login_LH,Satiro Server,Satiro_Serve_LH,Access_Token_UAT,Login_Icon_UAT,Medusa_Login,Medusa_Login_LH,Medusa_Server,Medusa_Server_LH
2024-09-04 11:28:02,2024-09-04 11:42:02,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 11:43:36,2024-09-04 11:57:36,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 11:59:07,2024-09-04 12:13:07,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 12:14:42,2024-09-04 12:28:42,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 12:30:16,2024-09-04 12:44:16,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 12:45:49,2024-09-04 12:59:49,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 13:01:23,2024-09-04 13:15:23,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 13:16:57,2024-09-04 13:30:57,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 13:32:29,2024-09-04 13:46:29,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 13:48:00,2024-09-04 14:02:00,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 14:03:34,2024-09-04 14:17:34,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 14:19:07,2024-09-04 14:33:07,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 14:34:38,2024-09-04 14:48:38,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 14:50:10,2024-09-04 15:04:10,OK,BAD,OK,BAD,OK,WARN,OK,OK,BAD,OK,WARN,BAD
2024-09-04 15:06:06,2024-09-04 15:20:06,OK,BAD,OK,BAD,OK,WARN,OK,OK,BAD,OK,WARN,BAD
2024-09-04 15:22:05,2024-09-04 15:36:05,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 15:37:48,2024-09-04 15:51:48,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 15:53:22,2024-09-04 16:07:22,OK,BAD,OK,BAD,OK,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 16:09:02,2024-09-04 16:23:02,OK,BAD,BAD,BAD,WARN,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 16:25:16,2024-09-04 16:39:16,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 16:40:16,2024-09-04 16:54:16,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 16:55:16,2024-09-04 17:09:16,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,BAD,OK,WARN
2024-09-04 17:18:19,2024-09-04 17:32:19,BAD,WARN,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2024-09-04 17:33:19,2024-09-04 17:47:19,BAD,WARN,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
