Start time,End time,Access_Token_DEV,Login_Icon_DEV,Satiro_Login,Satiro_Login_LH,Satiro Server,Satiro_Serve_LH,Access_Token_UAT,Login_Icon_UAT,Medusa_Login,Medusa_Login_LH,Medusa_Server,Medusa_Server_LH
2025-04-16 17:23:36,2025-04-16 17:37:36,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 17:39:15,2025-04-16 17:53:15,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 17:54:50,2025-04-16 18:08:50,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 18:10:26,2025-04-16 18:24:26,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 18:26:02,2025-04-16 18:40:02,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 18:41:37,2025-04-16 18:55:37,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 18:57:12,2025-04-16 19:11:12,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 19:12:48,2025-04-16 19:26:48,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 19:28:28,2025-04-16 19:42:28,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 19:44:09,2025-04-16 19:58:09,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 19:59:46,2025-04-16 20:13:46,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 20:15:27,2025-04-16 20:29:27,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 20:31:10,2025-04-16 20:45:10,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 20:46:58,2025-04-16 21:00:58,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 21:02:47,2025-04-16 21:16:47,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 21:18:46,2025-04-16 21:32:46,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 21:34:30,2025-04-16 21:48:30,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 21:50:32,2025-04-16 22:04:32,OK,BAD,BAD,BAD,WARN,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 22:06:49,2025-04-16 22:20:49,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 22:22:45,2025-04-16 22:36:45,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 22:38:29,2025-04-16 22:52:29,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 22:54:15,2025-04-16 23:08:15,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 23:10:21,2025-04-16 23:24:21,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 23:26:45,2025-04-16 23:40:45,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 23:42:59,2025-04-16 23:56:59,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-16 23:58:56,2025-04-17 00:12:56,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
